competition_id,competition_name,date,team_1_id,team_2_id,team_1_name,team_2_name,color_1,color_2,goals,fouls,yellow,yellow_red,red,penalties_scored,penalties_saved,woodwork,own_goals,joker_goals
82,Bundesliga,2021-01-23 14:30:00 UTC
82,Bundesliga,2021-01-23 14:30:00 UTC
9,Championship,2021-01-23 15:00:00 UTC
387,Serie B,2021-01-23 15:00:00 UTC
564,La Liga,2021-01-23 15:15:00 UTC
72,Eredivisie,2021-01-23 15:30:00 UTC
301,Ligue 1,2021-01-23 16:00:00 UTC
181,Tipico Bundesliga,2021-01-23 16:00:00 UTC
600,Süper Lig,2021-01-23 16:00:00 UTC
384,Serie A,2021-01-23 17:00:00 UTC
591,Super League,2021-01-23 17:15:00 UTC
82,Bundesliga,2021-01-23 17:30:00 UTC
564,La Liga,2021-01-23 17:30:00 UTC
72,Eredivisie,2021-01-23 17:45:00 UTC
72,Eredivisie,2021-01-23 19:00:00 UTC
591,Super League,2021-01-23 19:30:00 UTC
384,Serie A,2021-01-23 19:45:00 UTC
301,Ligue 1,2021-01-23 20:00:00 UTC
72,Eredivisie,2021-01-23 20:00:00 UTC
564,La Liga,2021-01-23 20:00:00 UTC
600,Süper Lig,2021-01-24 10:30:00 UTC
72,Eredivisie,2021-01-24 11:15:00 UTC
384,Serie A,2021-01-24 11:30:00 UTC
301,Ligue 1,2021-01-24 12:00:00 UTC
85,2. Bundesliga,2021-01-24 12:30:00 UTC
85,2. Bundesliga,2021-01-24 12:30:00 UTC
85,2. Bundesliga,2021-01-24 12:30:00 UTC
85,2. Bundesliga,2021-01-24 12:30:00 UTC
600,Süper Lig,2021-01-24 13:00:00 UTC
600,Süper Lig,2021-01-24 13:00:00 UTC
564,La Liga,2021-01-24 13:00:00 UTC
72,Eredivisie,2021-01-24 13:30:00 UTC
72,Eredivisie,2021-01-24 13:30:00 UTC
181,Tipico Bundesliga,2021-01-24 13:30:00 UTC
301,Ligue 1,2021-01-24 14:00:00 UTC
301,Ligue 1,2021-01-24 14:00:00 UTC
301,Ligue 1,2021-01-24 14:00:00 UTC
384,Serie A,2021-01-24 14:00:00 UTC
387,Serie B,2021-01-24 14:00:00 UTC
82,Bundesliga,2021-01-24 14:30:00 UTC
9,Championship,2021-01-24 15:00:00 UTC
462,Primeira Liga,2021-01-24 15:00:00 UTC
591,Super League,2021-01-24 15:00:00 UTC
181,Tipico Bundesliga,2021-01-26 17:30:00 UTC
591,Super League,2021-01-24 15:00:00 UTC
564,La Liga,2021-01-24 15:15:00 UTC
72,Eredivisie,2021-01-24 15:45:00 UTC
301,Ligue 1,2021-01-24 16:00:00 UTC
600,Süper Lig,2021-01-24 16:00:00 UTC
600,Süper Lig,2021-01-24 16:00:00 UTC
82,Bundesliga,2021-01-24 17:00:00 UTC
